Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEW ENGLAND,2021,1,,-,1,,,-,,-,2,,12,,2,,5,,,-,4,,,-,2,,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,2,,12,,2,,1,,,-,2,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,1,,-,1,,,-,,-,,-,4,,,-,,-,,-,3,,,-,2,,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,3,,,-,3,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,U,,NC,,U,,U,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
VERMONT,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,,-,2,,,-,,-,3,,26,,3,,26,,1,,8,,1,,3,,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,2,,,-,,-,,-,11,,,-,,-,,-,2,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
NEW YORK CITY,2021,1,,-,0,,,-,,-,3,,11,,3,,3,,1,,4,,1,,1,,,NEW YORK CITY,20210112,
EAST NORTH CENTRAL,2021,1,,-,1,,,-,,-,,-,31,,,-,18,,2,,13,,2,,5,,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,1,,,-,,-,,-,11,,,-,11,,,-,6,,,-,3,,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,1,,,-,,-,,-,2,,,-,,-,1,,3,,1,,,-,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
WISCONSIN,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,1,,2,,1,,,-,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,3,,,-,,-,,-,24,,,-,16,,,-,3,,,-,1,,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,2,,,-,1,,IOWA,,20210121,POINT (-93.500061 42.074659)
MINNESOTA,2021,1,,-,0,,,-,,-,,-,7,,,-,6,,,-,1,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153)
MISSOURI,2021,1,,-,3,,,-,,-,,-,21,,,-,10,,,-,3,,,-,,-,MISSOURI,,20210124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305)
DELAWARE,2021,1,,-,0,,,-,,-,,-,3,,,-,2,,1,,1,,1,,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926)
NORTH CAROLINA,2021,1,,-,0,,,-,,-,,-,22,,,-,8,,,-,5,,,-,4,,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2021,1,,-,1,,,-,,-,,-,49,,,-,11,,,-,3,,,-,,-,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572)
VIRGINIA,2021,1,,-,1,,,-,,-,,-,12,,,-,1,,,-,5,,,-,,-,VIRGINIA,,20210136,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2021,1,,-,3,,,-,,-,1,,46,,1,,32,,2,,12,,2,,4,,,EAST SOUTH CENTRAL,20210138,
MISSISSIPPI,2021,1,,-,0,,,-,,-,,-,13,,,-,9,,,-,4,,,-,,-,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378)
TENNESSEE,2021,1,,-,3,,,-,,-,,-,20,,,-,7,,,-,6,,,-,1,,TENNESSEE,,20210142,POINT (-86.343226 35.842998)
ARKANSAS,2021,1,,-,1,,,-,,-,1,,31,,1,,,-,,-,5,,,-,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825)
LOUISIANA,2021,1,,-,2,,,-,,-,7,,42,,7,,3,,,-,3,,,-,,-,LOUISIANA,,20210145,POINT (-91.840238 30.921314)
OKLAHOMA,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20210146,POINT (-97.508297 35.583449)
TEXAS,2021,1,,-,1,,,-,,-,,-,9,,,-,,-,,-,2,,,-,,-,TEXAS,,20210147,POINT (-99.317341 31.447238)
COLORADO,2021,1,,-,0,,,-,,-,,-,6,,,-,4,,,-,1,,,-,,-,COLORADO,,20210150,POINT (-105.547832 38.998552)
IDAHO,2021,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,IDAHO,,20210151,POINT (-114.659366 44.389073)
MONTANA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,MONTANA,,20210152,POINT (-109.645127 47.033521)
NEVADA,2021,1,,-,1,,,-,,-,,-,2,,,-,1,,,-,1,,,-,,-,NEVADA,,20210153,POINT (-114.916992 39.283294)
UTAH,2021,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,UTAH,,20210155,POINT (-111.678222 39.323779)
PACIFIC,2021,1,,-,5,,,-,2,,,-,36,,,-,31,,,-,6,,,-,5,,,PACIFIC,20210157,
ALASKA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20210158,POINT (-151.631889 63.631126)
HAWAII,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,HAWAII,,20210160,POINT (-157.854309 21.361013)
OREGON,2021,1,,-,1,,,-,,-,,-,3,,,-,1,,,-,3,,,-,1,,OREGON,,20210161,POINT (-120.605279 43.940449)
WASHINGTON,2021,1,,N,,NC,,N,,N,,-,18,,,-,11,,,-,1,,,-,3,,WASHINGTON,,20210162,POINT (-120.592492 47.411715)
US TERRITORIES,2021,1,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,-,,US TERRITORIES,20210163,
AMERICAN SAMOA,2021,1,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210164,
NORTHERN MARIANA ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210165,POINT (145.725693 15.1834)
GUAM,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210166,POINT (144.653198 13.3532)
PUERTO RICO,2021,1,,N,,NC,,N,,N,,-,3,,,-,2,,,-,0,,,-,,-,PUERTO RICO,,20210167,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210168,POINT (-64.840836 18.060868)
US RESIDENTS,2021,1,,-,10,,,-,2,,18,,236,,18,,211,,6,,55,,6,,31,,,US RESIDENTS,20210101,
CONNECTICUT,2021,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
NEW JERSEY,2021,1,,-,1,,,-,,-,,-,12,,,-,9,,,-,0,,,-,,-,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
PENNSYLVANIA,2021,1,,-,1,,,-,,-,,-,10,,,-,14,,,-,4,,,-,2,,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
ILLINOIS,2021,1,,-,1,,,-,,-,,-,5,,,-,1,,,-,2,,,-,,-,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
OHIO,2021,1,,-,0,,,-,,-,,-,19,,,-,6,,,-,6,,,-,2,,OHIO,,20210118,POINT (-82.70936 40.415534)
KANSAS,2021,1,,-,1,,,-,,-,,-,16,,,-,,-,,-,0,,,-,,-,KANSAS,,20210122,POINT (-98.38018 38.484729)
NEBRASKA,2021,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
SOUTH DAKOTA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2021,1,,-,2,,,-,,-,4,,97,,4,,73,,1,,22,,1,,11,,,SOUTH ATLANTIC,20210128,
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
GEORGIA,2021,1,,-,1,,,-,,-,4,,26,,4,,10,,,-,6,,,-,,-,GEORGIA,,20210132,POINT (-83.426574 32.638481)
MARYLAND,2021,1,,-,1,,,-,,-,,-,14,,,-,4,,,-,4,,,-,2,,MARYLAND,,20210133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2021,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,2,,,-,3,,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579)
ALABAMA,2021,1,,-,0,,,-,,-,,-,29,,,-,13,,,-,3,,,-,1,,ALABAMA,,20210139,POINT (-86.844516 32.756889)
KENTUCKY,2021,1,,-,1,,,-,,-,1,,4,,1,,3,,2,,7,,2,,2,,KENTUCKY,,20210140,POINT (-85.290484 37.526683)
WEST SOUTH CENTRAL,2021,1,,-,2,,,-,,-,8,,50,,8,,3,,,-,7,,,-,,-,,WEST SOUTH CENTRAL,20210143,
ARIZONA,2021,1,,-,1,,,-,,-,,-,7,,,-,1,,,-,2,,,-,,-,ARIZONA,,20210149,POINT (-111.664616 34.293239)
NEW MEXICO,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20210154,POINT (-106.108388 34.421369)
WYOMING,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,WYOMING,,20210156,POINT (-107.55145 42.999627)
CALIFORNIA,2021,1,,-,4,,,-,2,,,-,20,,,-,19,,,-,4,,,-,1,,CALIFORNIA,,20210159,POINT (-119.662127 37.211164)
MOUNTAIN,2021,1,,-,2,,,-,,-,,-,11,,,-,7,,,-,4,,,-,,-,,MOUNTAIN,20210148,
PACIFIC,2021,16,1,,6,,13,,18,,1,,14,,30,,314,,,-,6,,24,,42,,,PACIFIC,20211657,
FLORIDA,2021,1,,-,1,,,-,,-,,-,46,,,-,34,,,-,11,,,-,2,,FLORIDA,,20210131,POINT (-82.420978 28.260731)
NON-US RESIDENTS,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20210169,
TOTAL,2021,1,,-,10,,,-,2,,18,,239,,18,,213,,6,,55,,6,,31,,,TOTAL,20210170,
TOTAL,2021,2,1,,10,,1,,5,,12,,239,,44,,429,,6,,52,,14,,86,,,TOTAL,20210270,
US RESIDENTS,2021,2,1,,10,,1,,5,,12,,236,,44,,427,,6,,52,,14,,86,,,US RESIDENTS,20210201,
NEW HAMPSHIRE,2021,2,,-,0,,,-,,-,,-,3,,,-,5,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429)
NEW YORK,2021,2,,-,2,,,-,,-,5,,12,,5,,3,,,-,2,,,-,,-,NEW YORK,,20210211,POINT (-75.59655 42.921241)
PACIFIC,2021,2,,-,5,,,-,4,,,-,34,,,-,67,,,-,6,,,-,7,,,PACIFIC,20210257,
WEST SOUTH CENTRAL,2021,2,,-,2,,,-,,-,,-,50,,10,,13,,,-,7,,,-,2,,,WEST SOUTH CENTRAL,20210243,
NEBRASKA,2021,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20210225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,2,,-,3,,,-,,-,1,,46,,2,,75,,3,,12,,6,,15,,,EAST SOUTH CENTRAL,20210238,
NORTH DAKOTA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305)
NEVADA,2021,2,,-,1,,,-,,-,,-,2,,,-,2,,,-,1,,,-,,-,NEVADA,,20210253,POINT (-114.916992 39.283294)
ILLINOIS,2021,2,,-,1,,,-,,-,,-,5,,,-,4,,,-,2,,,-,1,,ILLINOIS,,20210215,POINT (-89.148632 40.124144)
IOWA,2021,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,2,,,-,1,,IOWA,,20210221,POINT (-93.500061 42.074659)
TEXAS,2021,2,,-,1,,,-,,-,,-,9,,,-,1,,,-,2,,,-,,-,TEXAS,,20210247,POINT (-99.317341 31.447238)
ALASKA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20210258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785)
WASHINGTON,2021,2,,N,,NC,,N,,N,,-,14,,,-,29,,,-,1,,,-,3,,WASHINGTON,,20210262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,2,,-,1,,,-,,-,1,,12,,4,,9,,1,,4,,1,,3,,,NEW ENGLAND,20210202,
RHODE ISLAND,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,U,,NC,,U,,U,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574)
OREGON,2021,2,,-,1,,,-,,-,,-,3,,,-,1,,,-,3,,,-,1,,OREGON,,20210261,POINT (-120.605279 43.940449)
DELAWARE,2021,2,,-,0,,,-,,-,,-,3,,,-,3,,,-,1,,1,,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926)
ALABAMA,2021,2,,-,0,,,-,,-,,-,29,,,-,28,,,-,3,,,-,2,,ALABAMA,,20210239,POINT (-86.844516 32.756889)
KANSAS,2021,2,,-,1,,,-,,-,,-,16,,,-,,-,,-,0,,,-,,-,KANSAS,,20210222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,2,,-,0,,,-,,-,,-,22,,,-,12,,,-,5,,,-,5,,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603)
GUAM,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532)
NEW JERSEY,2021,2,,-,1,,,-,,-,,-,7,,,-,21,,,-,0,,,-,,-,NEW JERSEY,,20210210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20210254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,2,1,,1,,1,,,-,,-,31,,,-,24,,,-,10,,2,,18,,,EAST NORTH CENTRAL,20210214,
TENNESSEE,2021,2,,-,3,,,-,,-,,-,17,,,-,27,,,-,6,,,-,7,,TENNESSEE,,20210242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20210203,POINT (-72.738288 41.575155)
MARYLAND,2021,2,,-,1,,,-,,-,,-,14,,,-,11,,,-,4,,,-,2,,MARYLAND,,20210233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,2,,-,1,,,-,,-,,-,49,,9,,16,,,-,3,,,-,3,,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20210246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834)
OHIO,2021,2,,-,0,,,-,,-,,-,19,,,-,6,,,-,6,,,-,8,,OHIO,,20210218,POINT (-82.70936 40.415534)
MINNESOTA,2021,2,,-,0,,,-,,-,,-,7,,,-,9,,,-,1,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153)
LOUISIANA,2021,2,,-,2,,,-,,-,,-,42,,7,,12,,,-,3,,,-,2,,LOUISIANA,,20210245,POINT (-91.840238 30.921314)
HAWAII,2021,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,2,,,-,,-,HAWAII,,20210260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,2,,-,2,,,-,1,,5,,97,,20,,139,,,-,22,,2,,27,,,SOUTH ATLANTIC,20210228,
PENNSYLVANIA,2021,2,,-,1,,,-,,-,,-,10,,,-,19,,1,,4,,1,,6,,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694)
UTAH,2021,2,,-,1,,,-,,-,,-,2,,,-,,-,1,,2,,1,,,-,UTAH,,20210255,POINT (-111.678222 39.323779)
COLORADO,2021,2,,-,0,,,-,,-,,-,6,,,-,8,,,-,1,,,-,,-,COLORADO,,20210250,POINT (-105.547832 38.998552)
VERMONT,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,VERMONT,,20210208,POINT (-72.662695 44.075252)
KENTUCKY,2021,2,,-,1,,,-,,-,1,,4,,2,,3,,3,,7,,6,,6,,KENTUCKY,,20210240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,2,,N,,NC,,N,,N,,-,3,,,-,2,,,-,0,,,-,,-,PUERTO RICO,,20210267,POINT (-66.414655 18.215692)
MAINE,2021,2,,-,0,,,-,,-,1,,12,,4,,2,,1,,2,,1,,1,,MAINE,,20210204,POINT (-69.06137 45.117911)
VIRGINIA,2021,2,,-,1,,,-,,-,,-,12,,,-,3,,,-,5,,,-,1,,VIRGINIA,,20210236,POINT (-78.666382 37.510861)
ARIZONA,2021,2,,-,1,,,-,,-,,-,7,,,-,2,,,-,2,,,-,1,,ARIZONA,,20210249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,2,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210264,
WISCONSIN,2021,2,1,,0,,1,,,-,,-,2,,,-,,-,,-,2,,1,,,-,WISCONSIN,,20210219,POINT (-89.732969 44.639954)
IDAHO,2021,2,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,IDAHO,,20210251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210268,POINT (-64.840836 18.060868)
MICHIGAN,2021,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,3,,1,,,-,MICHIGAN,,20210217,POINT (-85.730977 44.874798)
GEORGIA,2021,2,,-,1,,,-,1,,5,,26,,11,,21,,,-,6,,1,,,-,GEORGIA,,20210232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,2,,-,0,,,-,,-,,-,11,,3,,4,,,-,3,,1,,5,,,NEW YORK CITY,20210212,
ARKANSAS,2021,2,,-,1,,,-,,-,,-,31,,3,,,-,,-,5,,,-,,-,ARKANSAS,,20210244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,2,,-,0,,,-,,-,,-,13,,,-,17,,,-,4,,,-,,-,MISSISSIPPI,,20210241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210227,POINT (-100.230491 44.43614)
WYOMING,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,WYOMING,,20210256,POINT (-107.55145 42.999627)
MISSOURI,2021,2,,-,3,,,-,,-,,-,15,,,-,31,,,-,3,,,-,1,,MISSOURI,,20210224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,2,,-,2,,,-,,-,5,,26,,8,,47,,1,,6,,2,,11,,,MIDDLE ATLANTIC,20210209,
CALIFORNIA,2021,2,,-,4,,,-,4,,,-,20,,,-,36,,,-,4,,,-,3,,CALIFORNIA,,20210259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,2,,-,0,,,-,,-,,-,5,,,-,10,,,-,2,,,-,5,,WEST VIRGINIA,,20210237,POINT (-80.613729 38.642579)
FLORIDA,2021,2,,-,1,,,-,,-,,-,46,,,-,63,,,-,11,,,-,11,,FLORIDA,,20210231,POINT (-82.420978 28.260731)
MONTANA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,MONTANA,,20210252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,2,,-,3,,,-,,-,,-,17,,,-,40,,,-,3,,,-,2,,,WEST NORTH CENTRAL,20210220,
MASSACHUSETTS,2021,2,,-,1,,,-,,-,,-,4,,,-,1,,,-,3,,,-,2,,MASSACHUSETTS,,20210205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,2,,-,2,,,-,,-,,-,11,,,-,13,,1,,4,,1,,1,,,MOUNTAIN,20210248,
INDIANA,2021,2,,-,1,,,-,,-,,-,11,,,-,14,,,-,6,,,-,9,,INDIANA,,20210216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20210269,
US TERRITORIES,2021,2,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,-,,US TERRITORIES,20210263,
TOTAL,2021,3,1,,9,,2,,8,,21,,236,,92,,663,,3,,52,,22,,133,,,TOTAL,20210370,
US RESIDENTS,2021,3,1,,9,,2,,8,,21,,233,,92,,658,,3,,52,,22,,133,,,US RESIDENTS,20210301,
NEW HAMPSHIRE,2021,3,,-,0,,,-,,-,,-,3,,,-,8,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210306,POINT (-71.57139 43.680429)
NEW YORK,2021,3,,-,2,,,-,,-,,-,11,,5,,7,,,-,2,,,-,,-,NEW YORK,,20210311,POINT (-75.59655 42.921241)
PACIFIC,2021,3,,-,5,,,-,6,,1,,34,,1,,91,,,-,6,,,-,9,,,PACIFIC,20210357,
WEST SOUTH CENTRAL,2021,3,,-,2,,,-,,-,5,,50,,21,,28,,1,,7,,1,,4,,,WEST SOUTH CENTRAL,20210343,
NEBRASKA,2021,3,,-,2,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,NEBRASKA,,20210325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,3,,-,3,,,-,,-,,-,44,,15,,121,,1,,12,,7,,27,,,EAST SOUTH CENTRAL,20210338,
NORTH DAKOTA,2021,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20210326,POINT (-100.46931 47.446305)
NEVADA,2021,3,,-,1,,,-,,-,,-,2,,,-,3,,,-,1,,,-,,-,NEVADA,,20210353,POINT (-114.916992 39.283294)
ILLINOIS,2021,3,,-,1,,,-,,-,,-,5,,,-,7,,,-,2,,,-,3,,ILLINOIS,,20210315,POINT (-89.148632 40.124144)
IOWA,2021,3,,-,1,,,-,,-,,-,2,,1,,,-,,-,2,,,-,2,,IOWA,,20210321,POINT (-93.500061 42.074659)
TEXAS,2021,3,,-,1,,,-,,-,,-,9,,,-,5,,,-,2,,,-,1,,TEXAS,,20210347,POINT (-99.317341 31.447238)
ALASKA,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20210358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,3,,-,0,,,-,,-,,-,1,,,-,,-,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20210330,POINT (-77.016275 38.904785)
WASHINGTON,2021,3,,N,,NC,,N,,N,,-,14,,,-,41,,,-,1,,,-,4,,WASHINGTON,,20210362,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,3,,-,1,,,-,,-,3,,12,,8,,14,,1,,4,,2,,6,,,NEW ENGLAND,20210302,
RHODE ISLAND,2021,3,,-,0,,,-,,-,,-,2,,,-,,-,,U,,NC,,U,,U,RHODE ISLAND,,20210307,POINT (-71.534637 41.572574)
OREGON,2021,3,,-,1,,,-,,-,,-,3,,,-,3,,,-,3,,,-,1,,OREGON,,20210361,POINT (-120.605279 43.940449)
DELAWARE,2021,3,,-,0,,,-,,-,,-,3,,,-,3,,,-,1,,1,,,-,DELAWARE,,20210329,POINT (-75.452394 38.994926)
ALABAMA,2021,3,,-,0,,,-,,-,,-,29,,,-,50,,,-,3,,,-,2,,ALABAMA,,20210339,POINT (-86.844516 32.756889)
KANSAS,2021,3,,-,1,,,-,,-,,-,16,,,-,1,,,-,0,,,-,,-,KANSAS,,20210322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,3,,-,0,,,-,,-,,-,22,,1,,19,,,-,5,,,-,7,,NORTH CAROLINA,,20210334,POINT (-79.130883 35.52603)
GUAM,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210366,POINT (144.653198 13.3532)
NEW JERSEY,2021,3,,-,1,,,-,,-,,-,7,,,-,25,,,-,0,,,-,,-,NEW JERSEY,,20210310,POINT (-74.655514 40.110253)
NEW MEXICO,2021,3,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20210354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,3,,-,1,,1,,1,,1,,21,,1,,55,,,-,10,,6,,28,,,EAST NORTH CENTRAL,20210314,
TENNESSEE,2021,3,,-,3,,,-,,-,,-,17,,,-,42,,,-,6,,,-,11,,TENNESSEE,,20210342,POINT (-86.343226 35.842998)
CONNECTICUT,2021,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20210303,POINT (-72.738288 41.575155)
MARYLAND,2021,3,,-,1,,,-,,-,,-,14,,,-,16,,,-,4,,,-,2,,MARYLAND,,20210333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,3,,-,1,,,-,,-,,-,49,,10,,36,,,-,3,,,-,4,,SOUTH CAROLINA,,20210335,POINT (-80.864614 33.878572)
OKLAHOMA,2021,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20210346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210365,POINT (145.725693 15.1834)
